import time: self [us] | cumulative | imported package
import time:       161 |        161 |   _io
import time:        39 |         39 |   marshal
import time:       385 |        385 |   posix
import time:       353 |        937 | _frozen_importlib_external
import time:       128 |        128 |   time
import time:       119 |        246 | zipimport
import time:       118 |        118 |     _codecs
import time:       247 |        365 |   codecs
import time:       384 |        384 |   encodings.aliases
import time:       780 |       1527 | encodings
import time:       167 |        167 | encodings.utf_8
import time:        77 |         77 | _signal
import time:        24 |         24 |     _abc
import time:       107 |        131 |   abc
import time:       122 |        252 | io
import time:        34 |         34 |       _stat
import time:        46 |         80 |     stat
import time:       631 |        631 |     _collections_abc
import time:        25 |         25 |       genericpath
import time:        83 |        107 |     posixpath
import time:       301 |       1117 |   os
import time:        73 |         73 |   _sitebuiltins
import time:       671 |        671 |   _virtualenv
import time:       525 |        525 |   sitecustomize
import time:      2317 |       4700 | site
import time:       272 |        272 |       warnings
import time:       225 |        497 |     importlib
import time:      1973 |       2470 |   importlib.machinery
import time:       263 |        263 |     importlib._abc
import time:       101 |        101 |         itertools
import time:       136 |        136 |         keyword
import time:        74 |         74 |           _operator
import time:       269 |        342 |         operator
import time:       180 |        180 |         reprlib
import time:        58 |         58 |         _collections
import time:       903 |       1718 |       collections
import time:       257 |        257 |         types
import time:        57 |         57 |         _functools
import time:       655 |        968 |       functools
import time:       544 |       3228 |     contextlib
import time:       214 |        214 |       _weakrefset
import time:       722 |        936 |     threading
import time:       281 |       4707 |   importlib.util
import time:      1042 |       8217 | runpy
import time:       167 |        167 |               collections.abc
import time:      1421 |       1421 |                 enum
import time:        69 |         69 |                   _sre
import time:       252 |        252 |                     re._constants
import time:       384 |        635 |                   re._parser
import time:       111 |        111 |                   re._casefix
import time:       293 |       1107 |                 re._compiler
import time:       141 |        141 |                 copyreg
import time:       516 |       3184 |               re
import time:        47 |         47 |               _typing
import time:      2230 |       5626 |             typing
import time:       126 |        126 |               __future__
import time:       129 |        129 |                 atria_core
import time:       149 |        149 |                           token
import time:       786 |        935 |                         tokenize
import time:       113 |       1047 |                       linecache
import time:       712 |        712 |                       textwrap
import time:       381 |       2139 |                     traceback
import time:       503 |        503 |                     weakref
import time:        29 |         29 |                       _string
import time:       498 |        526 |                     string
import time:        26 |         26 |                     atexit
import time:      1391 |       4583 |                   logging
import time:        90 |         90 |                   atria_core.logger.constants
import time:        95 |         95 |                   atria_core.logger.filters
import time:        80 |         80 |                   atria_core.logger.utilities
import time:       177 |       5023 |                 atria_core.logger.logger
import time:       147 |       5298 |               atria_core.logger
import time:        69 |         69 |                 atria_core.utilities
import time:       176 |        176 |                     fnmatch
import time:       112 |        112 |                       _winapi
import time:       121 |        121 |                       nt
import time:       112 |        112 |                       nt
import time:        91 |         91 |                       nt
import time:        90 |         90 |                       nt
import time:        98 |         98 |                       nt
import time:        77 |        697 |                     ntpath
import time:        50 |         50 |                     errno
import time:        97 |         97 |                       urllib
import time:      1026 |       1026 |                       ipaddress
import time:       781 |       1903 |                     urllib.parse
import time:       581 |       3404 |                   pathlib
import time:       160 |       3563 |                 atria_core.constants
import time:       193 |        193 |                     rich._extension
import time:      1475 |       1667 |                   rich
import time:       159 |        159 |                           org
import time:        25 |        184 |                         org.python
import time:        14 |        197 |                       org.python.core
import time:       194 |        390 |                     copy
import time:        74 |         74 |                         _ast
import time:      1105 |       1178 |                       ast
import time:        42 |         42 |                           _opcode
import time:       370 |        411 |                         opcode
import time:       714 |       1125 |                       dis
import time:      1645 |       3947 |                     inspect
import time:      1598 |       5935 |                   dataclasses
import time:        79 |         79 |                   array
import time:       343 |        343 |                   rich.repr
import time:      1392 |       1392 |                         platform
import time:       138 |       1530 |                       attr._compat
import time:        39 |         39 |                         unicodedata
import time:        80 |         80 |                         attr._config
import time:       157 |        157 |                           attr.exceptions
import time:       188 |        345 |                         attr.setters
import time:      2227 |       2689 |                       attr._make
import time:       176 |       4394 |                     attr.converters
import time:       102 |        102 |                     attr.filters
import time:      2855 |       2855 |                     attr.validators
import time:       124 |        124 |                     attr._cmp
import time:       116 |        116 |                     attr._funcs
import time:       139 |        139 |                     attr._next_gen
import time:       534 |        534 |                     attr._version_info
import time:       295 |       8557 |                   attr
import time:       150 |        150 |                   rich._loop
import time:        75 |         75 |                   rich._pick
import time:        89 |         89 |                   rich.abc
import time:       118 |        118 |                     rich._cell_widths
import time:       356 |        474 |                   rich.cells
import time:        44 |         44 |                       math
import time:       169 |        169 |                       rich._wrap
import time:        86 |         86 |                                     _bisect
import time:       104 |        190 |                                   bisect
import time:        31 |         31 |                                   _random
import time:        21 |         21 |                                   _sha512
import time:       346 |        586 |                                 random
import time:       147 |        147 |                                 rich.errors
import time:       127 |        127 |                                   colorsys
import time:       264 |        264 |                                       rich.color_triplet
import time:       220 |        484 |                                     rich.palette
import time:       125 |        608 |                                   rich._palettes
import time:       287 |        287 |                                   rich.terminal_theme
import time:      1121 |       2141 |                                 rich.color
import time:       514 |       3387 |                               rich.style
import time:      1431 |       4817 |                             rich.segment
